code,term
MVC,Lab MCV
CRP,Lab CRP
Hemoglobin,Lab Hemoglobin
TIBC,Lab TIBC
HbA1c,Lab HbA1c
plasma_viscosity,Lab Plasma viscosity
ESR,Lab ESR
GGT,Lab GGT
lymphocyte,Lab Lymphocytes
platelets,Lab Platelets
AST,Lab AST
ALP,Lab ALP
ferritin,Lab Ferritin
MCH,Lab MCH
calcium_serum,Lab Calcium serum
neutrophils,Lab Neutrophils
h_p_ylori,Lab H_pylori
glucose,Lab Glucose
cholesterol_triglycerides,Lab Cholesterol triglycerides
bilirubin,Lab Bilirubin
anti_ttg,Lab Anti-ttg
plasma_proteins,Lab Plasma proteins
BP,Lab Blood pressure
amylase,Lab Amylase
ALT,Lab ALT
urea_serum,Lab Urea serum
CA125,Lab CA125
creatinine_serum,Lab Creatinine serum
albumin_serum,Lab Albumin serum
WCC,Lab WBC
creatinine_urine,Lab Creatinine urine
iron,Lab Iron
