code,term
secondary_polycythaemia,Secondary polycythaemia
ADHD,ADHD
Benign_Prostatic_Hyperplasia,Benign prostatic hyperplasia
Bipolar_Affective_Disorder,Bipolar affective disorder
Bisphosphonates,Bisphosphonates
Black,Black
COPD,COPD
Cervical_Intraepithelial_Neoplasia,Cervical intraepithelial neoplasia
Chronic_Cystitis,Chronic cystitis
Chronic_Hepatitis,Chronic hepatitis
Chronic_Kidney_Disease,Chronic kidney disease
Cleidocranial_Dysplasia,Cleidocranial dysplasia
Coronary_Heart_Disease,Coronary heart disease
Covid2,Covid2
Diabetes,Diabetes
Drinker - excess/disorder,Drinker - excess/disorder
Drinker - unspecified,Drinker - unspecified
Drinker - within limits,Drinker - within limits
End-Stage_Renal_Disease,End-Stage renal disease
Epsstein-Barr_virus,Epsstein-Barr virus
Gastro-Oesophageal_Reflux,Gastro-oesophageal reflux
Giant_Cell_Arteritis,Giant cell arteritis
Glomeruonephritis,Glomeruonephritis
High_birth_weight,High birth weight
HPV,HPV
IBD,IBD
IBS,IBS
IBS_Med,IBS medication
Ischaemic_stroke,Ischaemic stroke
left_bundle_branch_block,Left bundle branch block
low_birth_weight,Low birth weight
Myelodysplastic_syndrome,Myelodysplastic syndrome
Monoclonal_gammopathy_undetermined_significance,Monoclonal gammopathy undetermined significance
MND,MND
Non-Hodgkin_Lymphoma,Non-Hodgkin lymphoma
Non-Alcoholic_Fatty_Liver_Disease,Non-Alcoholic fatty liver disease
Non-drinker,Non-drinker
Oesteoarthritis,Oesteoarthritis
Postcoital_and_contact_bleeding,Postcoital and contact bleeding
PCOS,PCOS
Polycythaemia_vera,Polycythaemia vera
Patent_ductus_arteriousus,Patent ductus arteriousus
Pulmonary_embolism,Pulmonary embolism
Postmenopausal_bleeding,Postmenopausal bleeding
Polymyalgia_rheumatica,Polymyalgia rheumatica
Psoriatic_arthropathy,Psoriatic arthropathy
PTSD,PTSD
Personality_Disorder,Personality disorder
Right_bundle_branch_block,Right bundle branch block
Respiratory_distress_of_newborn,Respiratory distress of newborn
Rheumatic_Valve_Disease,Rheumaticn valve disease
Rheumatoid_Arthritis,Rheumatoid arthritis
Lupus_erythematosus,Lupus erythematosus
Supraventricular_tachycardia,Supraventricular tachycardia
Stroke_NOS,Stroke NOS
Subarachnoid_haemorrhage,Subarachnoid haemorrhage
Tuberculosis,Tuberculosis
Transient_ischaemic_attack,Transient ischaemic attack
Tubulo-interstitial_nephritis,Tubulo-interstitial nephritis
Ventricular_tachycardia,Ventricular tachycardia
Venous_Thromboembolism,Venous thromboembolism
abdo_mass,Abdominal mass
achalasia,Achalasia
acne,Acne
actinic_keratosis,Actinic keratosis
adrenal_insufficiency,Adrenal insufficiency
agranulocytosis,Agranulocytosis
albumin_serum,
alcohol_problems,Alcohol problems
alcohol_dependy,Alcohol Dependency
allergic_rhinitis,Allergic rhinitis
alopecia_areata,Alopecia areata
amylase,Amylase
anal_fissure,Anal fissure
angiodysplasia_colon,Angiodysplasia colon
ankylosing_spondylitus,Ankylosing spondylitus
anorectal_fistula,Anorectal fistula
anorectal_prolapse,Anorectal prolapse
anterior_uveitis,Anterior uveitis
anxiety_or_phobia,Anxiety or phobia
aortic_aneurysm,Aortic aneurysm
aplastic,Aplastic
appendicitis,Appendicitis
appetite_loss,Appetite loss
arthritis,Arthritis
asbestosis,Asbestosis
aspiration_pneumo,Aspiration pneumonia
asthma,Asthma
atrial_fibrilation,Atrial fibrilation
autism,Autism
autoimmune_liver_disease,Autoimmune liver disease
autoimmune_skin_disease,Autoimmune skin disease
autonomic_nervous_system,Autonomic nervous system
atrioventricular_block_first_degree,Atrioventricular block first degree
atrioventricular_block_second_degree,Atrioventricular block second degree
atrioventricular_block_third_degree,Atrioventricular block third degree
backpain,Back pain
bariatric_surgery,Bariatric surgery
barretts,Barretts
bells's_palsy,Bells's palsy
benign_brain_neoplasm,Benign brain neoplasm
benign_colon_neoplasm,Benign colon neoplasm
benign_ovary_neoplasm,Benign ovary neoplasm
benign_stomach_neoplasm,Benign stomach neoplasm
benign_uterus_neoplasm,Benign uterus neoplasm
bifascicular_block,Bifascicular block
biliary cancer,Biliary cancer
bilirubin,Bilirubin
bladder cancer,Bladder cancer
blindness,Blindness
